Price,Close,High,Low,Open,Volume
Ticker,6618.HK,6618.HK,6618.HK,6618.HK,6618.HK
Datetime,,,,,
2025-02-24 20:30:00-05:00,34.849998474121094,35.25,34.45000076293945,34.5,4650050
2025-02-24 21:00:00-05:00,34.54999923706055,34.849998474121094,34.20000076293945,34.849998474121094,2823400
2025-02-24 21:30:00-05:00,34.75,34.900001525878906,34.45000076293945,34.5,2008850
2025-02-24 22:00:00-05:00,34.5,34.849998474121094,34.5,34.75,2138400
2025-02-24 22:30:00-05:00,34.75,34.75,34.400001525878906,34.54999923706055,1098140
2025-02-25 00:00:00-05:00,34.650001525878906,34.79999923706055,34.29999923706055,34.75,2256094
2025-02-25 00:30:00-05:00,34.70000076293945,34.900001525878906,34.5,34.650001525878906,2116950
2025-02-25 01:00:00-05:00,34.5,34.75,34.45000076293945,34.75,1498150
2025-02-25 01:30:00-05:00,34.20000076293945,34.54999923706055,34.0,34.54999923706055,2665896
2025-02-25 02:00:00-05:00,34.5,34.599998474121094,34.04999923706055,34.20000076293945,2331750
2025-02-25 02:30:00-05:00,34.650001525878906,34.70000076293945,34.45000076293945,34.5,1844714
2025-02-25 03:00:00-05:00,34.54999923706055,34.54999923706055,34.54999923706055,34.54999923706055,535050
2025-02-25 20:30:00-05:00,35.25,35.54999923706055,34.75,35.04999923706055,3232350
2025-02-25 21:00:00-05:00,35.5,35.54999923706055,34.900001525878906,35.25,2848350
2025-02-25 21:30:00-05:00,35.79999923706055,35.79999923706055,35.150001525878906,35.5,1408296
2025-02-25 22:00:00-05:00,35.400001525878906,36.099998474121094,35.349998474121094,35.75,2589100
2025-02-25 22:30:00-05:00,35.0,35.45000076293945,34.95000076293945,35.400001525878906,1632350
2025-02-26 00:00:00-05:00,35.599998474121094,35.650001525878906,34.900001525878906,35.099998474121094,1199030
2025-02-26 00:30:00-05:00,35.150001525878906,35.650001525878906,35.150001525878906,35.599998474121094,1168450
2025-02-26 01:00:00-05:00,35.20000076293945,35.29999923706055,35.0,35.20000076293945,1164500
2025-02-26 01:30:00-05:00,35.0,35.349998474121094,34.95000076293945,35.150001525878906,1434850
2025-02-26 02:00:00-05:00,35.400001525878906,35.5,35.0,35.04999923706055,2406310
2025-02-26 02:30:00-05:00,35.150001525878906,35.349998474121094,34.849998474121094,35.349998474121094,2752973
2025-02-26 03:00:00-05:00,35.25,35.25,35.25,35.25,444300
2025-02-26 20:30:00-05:00,34.70000076293945,35.45000076293945,34.599998474121094,34.650001525878906,3398050
2025-02-26 21:00:00-05:00,34.79999923706055,34.95000076293945,33.95000076293945,34.79999923706055,6054846
2025-02-26 21:30:00-05:00,34.400001525878906,35.099998474121094,34.25,34.900001525878906,2383793
2025-02-26 22:00:00-05:00,34.400001525878906,34.70000076293945,34.150001525878906,34.45000076293945,1587200
